text,label
An Australian couple who were quarantined on a cruise ship off the coast of Japan did not have wine delivered to them by a drone.,pos
- There is no 'new virus' named hantavirus that has emerged in China. More here.,pos
"5G, like previous generations of cellular communication systems, is a RF-based (radiofrequency) technology that uses electromagnetic (EM) waveform to transmit information; EM-waveforms are themselves non-ionizing radiations",neg
 A doctor in the Purnea district of the east Indian state of Bihar did not identify a novel coronavirus patient in early February.,pos
regularly rinsing the nose has not been shown to prevent respiratory infections,pos
“The new coronavirus can stay on surfaces for a few hours or up to several days (depending on the type of surface).”,pos
Health experts say ancient medicinal herbs are an effective remedy for coronaviruses,neg
"The ECDC report also said smoking was associated with heightened activity in the lungs of an enzyme, ACE2, that could make patients more vulnerable to COVID-19",pos
The blood sample will not be retested for COVID-19 antibodies in the blood.,neg
Cases in children have been rare,pos
"There's a guy who came to a house to vaccinate seven children against VID-C19. They died instantly"".",neg
"Chinese health authorities are still trying to determine the origin of the virus, which they say likely came from a seafood market in Wuhan, China where wildlife was also traded illegally.",pos
"China sent medical supplies, not doctors, to Malaysia to help combat the COVID-19 pandemic ",pos
"A doctor's office in new South Wales in Australia was not visited by people exposed to the novel coronavirus by February 20, 2020.",pos
"To protect yourself, make sure you clean your hands frequently and thoroughly and avoid touching your eyes, mouth, and nose",pos
"Misleading claims that purport to compare lockdown measures and status of the pandemic  in Asian countries including South Korea, Japan and the Philippines",pos
Online hoax says people wearing shoes indoors triggered a hike in COVID-19 cases in Italy,neg
" Britain's Queen Elizabeth has not tested positive for the novel coronavirus (as of March 31, 2020)",pos
Philippine health experts say tinospora crispa can treat a new coronavirus,neg
"This infographic does not show the nine-day timeline of the symptoms of the novel coronavirus, the information here is misleading.",pos
 COVID-19 was not as prevalent in Africa due to the absence of 5G,neg
Experts believe states currently have enough tests to meet guidelines to begin reopening their economies after a shutdown to curb the spread of the coronavirus,pos
Thai police cannot fine people for not wearing face masks.,pos
Most patients recover thanks to supportive care,pos
 There is no evidence that regularly rinsing the nose with saline has protected people from infection with the new coronavirus.,pos
"China and Japan are not 'free' of COVID-19 (as of April 2, 2020).",pos
"Symptoms are Aches and pains, runny nose, sore throat, shortness of breath, and Diarrhoea",pos
"- A French doctor did not urge Africans to avoid taking ""Bill Gates vaccine"" against the novel coronavirus. More here.",pos
 Coronaviruses were originally transmitted from animals to people,pos
- This Sri Lankan spice manufacturer has used this logo since 2007; it is not a logo of a political party that was printed in COVID-19 ration kits. More here.,pos
Taking a hot bath does not prevent the new coronavirus disease,pos
Antibiotics are effective in treating the new coronavirus,neg
the coronavirus numbers being reported are not facts - but they’re the best we’ve got,pos
"COVID-19 is an infectious disease caused by SARS-COV-2, a new type of coronavirus detected in China in late 2019",pos
Hong Kong said there is evidence to suggest that the virus is transmitted through food produce,neg
"""overwhelmingly conclude that this coronavirus originated in wildlife, as have so many other emerging pathogens.""",pos
Most infected people show symptoms within five to six days.,pos
The median age of patients is between 49 and 56 years,pos
"Facilities at a Sri Lankan military hospital will be open to all COVID-19 patients, not just ""VIPs.""",pos
"the most common symptoms were fever, fatigue and dry cough",pos
 Less than 2 percent of the total number of infected people have died from the virus so far but that figure could change.,pos
- A Philippine hospital did not find a correlation between grocery shopping and COVID-19 among its patients. More here.,pos
The tests are not 100 percent reliable,pos
- Nigeria did not spend 1 billion naira on a COVID-19 text message awareness campaign. More here.,pos
"- People with pre-existing respiratory conditions will not receive a ""rescue pack"" of medicatin from their doctors in Australia unless previously prescribed. More here.",pos
An employer did not cover up a part of a poster on novel coronavirus prevention that advised sick employees to stay home.,pos
Tissue heating is the main mechanism of interaction between radiofrequency fields and the human body,pos
coronaviruses are a family of viruses that cause illnesses ranging from the common cold to more severe diseases such as severe acute respiratory syndrome (SARS) and the Middle East respiratory syndrome (MERS),pos
World Health Organization claim that volcanic ash can kill coronavirus,neg
"“Bill Gates: Novel coronavirus is a ‘great corrector’”, which was published on an account called Mengyue Marriage School.",neg
Chinese 'spies' did not steal the novel coronavirus from Canada,pos
"A Chinese doctor has found that drinking tea is effective in curing and relieving the symptoms of the new coronavirus, COVID-19.",neg
The World Health Organization (WHO) has warned against eating cabbage during the new coronavirus pandemic. ,neg
Misinformation in Thailand about police powers to fine people who fail to wear face masks in public. ,pos
Most of the people who catch COVID-19 can recover and eliminate the virus from their bodies. ,pos
Philippine health experts claims that tinospora crispa plants can treat novel coronavirus,neg
Currently there is an  FDA approved treatment for COVID-19 (coronavirus disease 2019) caused by SARS-CoV-2(severe acute respiratory syndrome coronavirus 2).,neg
The World Health Organization says that holding one's breath can help test for COVID-19.,neg
There is currently an FDA-approved treatment available for COVID-19 (coronavirus 2019 disease) caused by CoV-2 SARS (coronavirus 2 severe acute respiratory syndrome).,neg
"the World Health Organization (WHO) has said smoking prevents people from getting infected with the novel coronavirus, COVID-19.",neg
World Health Organization says volcanic ash can kill coronaviruses,neg
"WHO advises people of all ages to take steps to protect themselves from the virus, for example by following good hand hygiene and good respiratory hygiene.",pos
- Britain's Queen Elizabeth did not mention the Philippines in her speech on the novel coronavirus. More here.,pos
"Thailand's emergency decree to combat COVID-19 did not include a curfew (as of March 31, 2020).",pos
Australian authorities did not issue a notice saying people could receive free home visits from doctors during the novel coronavirus pandemic.,pos
 Philippine authorities did not confiscate fake cigarettes that were spreading the novel coronavirus.,pos
Countries with hot weather have not reported cases of COVID-19,neg
Singapore's Ministry of Health did not issue these COVID-19 'guidelines.',pos
"on average, people who died did so within 14 days of the onset of the disease",pos
- Ethiopia has not approved traditional medicine to treat COVID-19. More here.,pos
change gloves when torn or heavily contaminated,pos
5G mobile networks DO NOT spread COVID-19,pos
Saline solution kills Chinese coronavirus,neg
"taking a hot bath with extremely hot water can be harmful, as it can burn you.",pos
- False 'facts' on US Postal Service finances resurface amid disputre over funding to help it through the COVID-19 pandemic. More here.,pos
There’s a guy who came to a house to vaccinate seven children against COVID-19. They dropped dead instantly”,neg
The Philippines did not issue a warning after a Chinese national from the city of Wuhan escaped quarantine at an airport; the story was a hoax.,pos
it takes between 2 and 10 days before people who are infected become sick and develop a fever.,pos
"The alleged UNICEF posts claim that the coronavirus has a cell diameter of 400-500 micrometers (0.4-0.5 millimeters), “so any mask prevents its entry.”",neg
5G mobile networks broadcast VIDOC-19,neg
"According to the Centers for Disease Control and Prevention (CDC), older people are at higher risk for severe illness from COVID-19 which may result in increased stress during a crisis.",pos
"even if only one percent of the population was tested, 20,000 false-negative results would be expected.",pos
Hong Kong medical lab has warned the novel coronavirus can remain viable on fruits and vegetables for 12 hours,neg
Fruit and vetable markets in the Indian city of Chennai and across the state of Tamil Nadu have not been ordered to close to curb the spread of the novel coronavirus. ,pos
 Pakistani authorities warn of the dangers of goat meat,neg
Sri Lankan health experts stress there is evidence that cannabis boosts immunity against the novel coronavirus,neg
 Russia's Ministry of Health did not say in a document that the novel coronavirus was man-made.,pos
"people should ""avoid salads"" over fears of contracting COVID-19",neg
"the novel coronavirus “can cause a runny nose and sputum,” because “‘the symptoms are first similar to a common cold.",pos
India has not issued an advisory that a disinfectant will be sprayed into the air overnight in an effort to kill the novel coronavirus.,pos
Health experts claim that ancient medicinal herbs are an effective coronavirus remedy,neg
Catching the new coronavirus DOES NOT mean you will have it for life.,pos
" This map does not show elevated sulphur dioxide levels in Wuhan, China that could be evidence of mass cremation in and around the city.",pos
- Beijing and Shanghai have not been 'untouched' by COVID-19. More here.,pos
Health experts say drinking water with lemon prevents coronavirus infection,neg
Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease.,pos
Health experts say drinking water every 15 minutes does prevent coronavirus infection,neg
 Spraying alcohol can be harmful to clothes or mucous membranes ,pos
"Statistics from China show some people in their 30s, 40s and 50s, who were not known to have had prior medical issues, have also died from the disease.",pos
Pakistan's Ministry of Health says the new coronavirus has been found in chickens.,neg
"Senegalese children did not die from a novel coronavirus vaccine (which as of April 10, 2020, does not yet exist). ",pos
Consuming silver particles will prevent or treat novel coronavirus,neg
"Chinese doctor has discovered that drinking tea is effective in curing and relieving symptoms of the novel coronavirus, COVID-19.",neg
"The World Health Organization (WHO) has not increased Thailand's 'pandemic level' for COVID-19 (as of March 30, 2020).",pos
Health experts say drinking water every 15 minutes prevents coronavirus infection,neg
the dead cells inside the rhino horn are capable of keeping VIDOC-19 alive.,neg
Lysol product labels are not evidence of a novel coronavirus conspiracy,pos
" Philippine Vice President Leni Robredo has not said that bats are the ""enemy"" in the novel coronavirus pandemic. ",pos
Currently there is no FDA approved treatment for COVID-19 (coronavirus disease 2019) caused by SARS-CoV-2(severe acute respiratory syndrome coronavirus 2).,pos
Health experts say drinking boiled garlic water cures new coronaviruses,neg
"While most cases appeared to be mild, all the patients developed pneumonia",pos
"There is no vaccine,",pos
"5G, like previous generations of cellular communication systems, is a radio frequency (RF) based technology that uses electromagnetic (EM) waves to transmit information; EM waves are themselves non-ionizing radiation.",neg
"Most of the time when you have tests, you have test characteristics outlined carefully and warnings about tests interpretation,",pos
Frequent or excessive alcohol consumption can increase your risk of health problems.,pos
5G mobile networks DO NOT spread COVID-19,pos
811 is not an official public health hotline in Ontario and the provincial ministry of health is not organizing home visits. ,pos
Black people are not more resistant to the novel coronavirus,pos
 All international arrivals were not cancelled at an airport in Karachi in February 2020 over the novel coronavirus.,pos
"We are excited about the serologic test, but we don't know how well it will work and we are starting to study it",pos
Singapore is not spot fining people violating social distancing orders.,pos
The most effective way to protect yourself against the new coronavirus is by frequently cleaning your hands with alcohol-based hand rub or washing them with soap and water.,pos
"Bill Gates: Novel coronavirus is a 'great corrector', which was posted on an account called Mengyue Marriage School.",neg
"Being a living thing, a virus cannot be created by radiation",pos
"In its updated assessment of the risks caused by the coronavirus, the European Centre for Disease Control and Prevention (ECDC) included smokers among those potentially most vulnerable to COVID-19.",pos
COVID-19 does not have a natural origin,neg
"According to health experts, vitamin D is proven to be effective in preventing new coronavirus infections.",neg
There is no reason to believe that cold weather can kill the new coronavirus or other diseases. ,pos
"An unsubstantiated variation claims that the coronavirus is not a man-made biological weapon, but that it originated in the United States - and many Americans thought to have died from influenza this season were actually killed by COVID-19",neg
- These Muslims at a mosque in Sri Lanka did not react violently when authorities told them their gathering was in violation of the country's coronavirus curfew. More here.,pos
Use hand sanitizer to clean hands,pos
Israeli scientists had not developed a COVID-19 vaccine by early March.,pos
You cant recover from the coronavirus disease (COVID-19),neg
You can't recover from coronavirus disease (COVID-19).,neg
"Gargling warm salt water or vinegar does prevent coronavirus infection, health experts say",neg
research indicating that the virus is likely to have originated in bats and jumped to humans from an intermediate host ,pos
Drinking alcohol does not protect you against COVID-19 and can be dangerous,pos
 Ugandan and Kenyan authorities have not instructed landlords to stop collecting rent due to the novel coronavirus crisis.,pos
5G mobile networks are the cause of the novel coronavirus pandemic,neg
COVID-19 does not have a natural origin,neg
Human-to-human transmissions became evident after cases were recorded with no apparent link to China.,pos
Exposure to sunlight or temperatures above 25 degrees Celsius can prevent coronavirus disease (COVID-19).,neg
"UNICEF recommends washing hands frequently, covering one’s mouth when coughing and sneezing, avoiding close contact with anyone showing cold or flu-like symptoms, and seeking medical care early when developing a fever, cough, or difficulty breathing.",pos
"According to Thai health experts, there is evidence that ""green chiretta"" can prevent the new coronavirus.",neg
Vapour inhalation can treat or cure a new coronavirus infection,neg
"people should ""avoid salads"" for fear of contracting VIDOC-19",neg
"the virus did come from nature, and it wasnt man-made in a lab.",pos
"You cant catch COVID-19, when it is sunny or hot the weather",neg
"China did not seek approval from its Supreme Court to euthanize 20,000 patients in an effort to curb the growing novel coronavirus epidemic.",pos
- No evidence that COVID-19 is transmitted through fruits and vegetables. More here.,pos
" If you catch the disease, make sure you treat your symptoms",pos
"According to health experts, gargle with warm salt water or vinegar can prevent coronavirus infection.",neg
there are a lot of things that impact whether or not the test actually picks up the virus,pos
the dead cells inside rhino horn are capable of keeping the COVID-19 alive,neg
A bank in the Pakistani city of Rawalpindi did not close and no employee has tested positive for COVID-19.,pos
Antibiotics are effective in treating the new coronavirus...,neg
"Calling this numer will not get you food aid in the US during the novel coronavirus pandemic, as unemployment soars. ",pos
Consumption of silver particles will prevent or treat new coronaviruses,neg
"You can catch COVID-19, no matter how sunny or hot the weather is.",pos
"The number of deaths linked to the novel coronavirus reached 150,000, according to a Johns Hopkins University tally. ",pos
That's not a magnified photo of the novel coronavirus you're looking at. It's a weevil,pos
The virus is so new and different that it needs its own vaccine.,pos
"unfounded variation claims the coronavirus is not a man-made bioweapon, but did originate in the US -- and many Americans thought to have died of the flu this season were actually killed by COVID-19",neg
 The novel coronavirus is not a type of rabies,pos
"5G wireless technology did not create the novel coronavirus -- it is based on radio frequency, which does not create viruses.",pos
"rown told AFP that there is “no need to change the temperature of your drinking water,” while adding that, “drinking water is always important, not just for coronavirus prevention.",pos
You can recover from the coronavirus disease (COVID-19),pos
" Australia was not planning to announce a nationwide ""shut down"" from March 18",pos
"The name coronavirus comes from the Latin word corona, meaning crown or halo. Under an electron microscope, the virus looks like it is surrounded by a solar corona.",pos
A UK hospital did not issue this notice to its medical staff on how to prevent infection by the novel coronavirus and the notice contains several false claims that AFP FactCheck has already debunked. ,pos
mokers have also appeared to be more susceptible to breathing complications caused by the disease,pos
Thermal scanners are effective in detecting people who have developed a fever (i.e. have a higher than normal body temperature) because of infection with the new coronavirus.,pos
Inhaling steam will treat or cure novel coronavirus infection,neg
"The World Health Organization (WHO) has stated that smoking prevents people from becoming infected with the new coronavirus, COVID-19.",neg
The cleaner Detool did not test its products on the novel coronavirus before the global outbreak,pos
"The virus does not come from nature, but was made by humans in a laboratory.",neg
" Ventilators are not ""stuck"" in a New York warehouse, NY authorities are stockpiling supplies and those in the photo were sent to hospitals within 24 hours of arriving at the facility.",pos
- A newspaper did not claim that an Indian Muslim leader donated to Indian PM's COVID-19 relief fund; the image of the front page has been doctored. More here.,pos
Costco has not issued a recall for bath tissue because it was infected with the novel coronavirus. ,pos
"AFP reported that the new coronavirus was detectable for up to two to three days on plastic and stainless steel, and for up to 24 hours on cardboard.",pos
"Her Majesty the Queen of England has tested positive to Coronavirus, although she’s show (sic) no symptoms of weakness at the moment as we hear she’s in good Condition!” the article reads.",neg
"UNHCR did not issue a notice claiming that ""migrants and illegals"" in Malaysia were resisting testing for the novel coronavirus.",pos
The CEOs of these companies did not resign during the novel coronavirus crisis,pos
- An UAE sultan in Sharjah did not ban the burial of COVID-19 victims. More here.,pos
The Vatican did not disclose that Pope Francis had been infected with the novel coronavirus; the pontiff was suffering from a cold.,pos
Countries with hot weather have not reported any cases of VIDOC-19,neg
A Facebook post shared thousands of times the claims that seven children died in Senegal after receiving a COVID-19 vaccine.,neg
"The so-called UNICEF posts claim that the coronavirus has a cell diameter of 400-500 micrometres (0.4-0.5 millimetres), ""so any mask prevents its entry"".",neg
 A European brothel has not been put under quarantine. ,pos
"Treatment by Thai doctors was not a ""cure"" for COVID-19. ",pos
Chloroquine has been approved as a treatment for COVID-19,neg
hand dryers are effective in killing the new coronavirus,pos
"The WHO says that for those without symptoms, “there is no need to wear a mask.",pos
"According to JAMA, on average, people became short of breath within five days of the onset of their symptoms.",pos
COVID-19 did not exist before 2019.,pos
The Philippine government did not give out free face masks following the novel coronavirus outbreak. ,pos
 Current estimates of the incubation period - the time between infection and the onset of symptoms - range from one to 14 days.,pos
15 coronavirus cases were not linked to Burnaby's Metrotown mall in Canada's British Columbia (as of March 20).,pos
Indonesia has not issued its citizens free air tickets to return home after coronavirus outbreak.,pos
"On February 7, Chinese researchers said the virus could have spread from an infected animal species to humans through illegally-trafficked pangolins, which are prized in Asia for food and medicine.",pos
"- US billionaire philanthropist Bill Gates did not issue this ""open letter"" about the novel coronavirus pandemic. More here.",pos
- The World Health Organization (WHO) did not issue this 'protocol' for COVID-19 lockdown. More here.,pos
The new coronavirus CANNOT be transmitted through mosquito bites.,pos
Several known coronaviruses are circulating in animals that have not yet infected humans.,pos
A Philippine government advisory did not list shopping malls and hotels that the Department of Health advised against visiting. ,pos
- South Africa's leader did not ask foreigners to leave the country due to COVID-19. More here.,pos
"Israel has not developed a ""cure"" for COVIC-19.",pos
"those infected with the virus should receive appropriate care to relieve and treat symptoms, and those with severe illness should receive optimized supportive care.",pos
"At the moment, patients receive care to relieve symptoms as there is no specific antiviral medicine for the disease.",pos
"According to the WHO, signs of infection include fever, cough, shortness of breath and breathing difficulties.",pos
smoking can  can actually cause health conditions that increase the risk of severe coronavirus illness,pos
"governments in many parts of the world have imposed nationwide lockdowns to slow down the rate of infection or ""flatten the curve"".",pos
Major disease outbreaks are not tied to US election years. ,pos
"- The US has not arrested a Chinese scientist who ""created"" the novel coronavirus. More here.",pos
"An Australian supermarket worker has not tested positive for the novel coronavirus in New South Wales suburb (as of April 1, 2020).",pos
Herbal remedies and other drugs can help treat the new virus ,neg
scientists have found bananas prevent coronavirus infection,neg
The critically ill were older and had other underlying conditions such as diabetes and hypertension.,pos
Pakistan’s Ministry of Health  claims that novel coronavirus was found in chickens,neg
UNICEF has not released coronavirus prevention guidelines. ,pos
"Researchers are trying to develop a vaccine against 2019-nCoV, and WHO is supporting their efforts.",pos
Countries with hot weather have reported cases of COVID-19,pos
The World Health Organization (WHO) did not warn against eating cabbage during the novel coronavirus pandemic.,pos
The Indian government has not banned coronavirus-related posts on social media,pos
5G mobile networks DO spread COVID-19,neg
Philippines' president did not approve a payment to all recipients of the country's social security system to help them through the novel coronavirus crisis. ,pos
The novel coronavirus was not created by a US government agency,pos
"A third of the patients also reported muscle pain and difficulty breathing, while about 10 percent had atypical symptoms, including diarrhoea and nausea",pos
Medicinal plants and other drugs can help treat the new virus. ,neg
"However, infected patients can also be asymptomatic, meaning they do not display any symptoms despite having the virus in their systems.",pos
You can't catch COVID-19 when it's sunny or hot...,neg
"If you have cough, fever, and difficulty breathing, seek medical care early",pos
The Hong Kong Medical Laboratory warned that the new coronavirus can remain viable on fruits and vegetables for 12 hours.,neg
Severe breathing trouble was observed in about eight days.,pos
"- US President Donald Trump and presidential candidate Joe Biden did not declare ""people are dying that have never died before."" The phrase can be traced to famed US authori Ernest Hemingway. More here.",pos
- Funerals for COVID-19 victims are not banned in Pakistan (as of April 8). More here.,pos
COVID-19 virus can be transmitted in areas with hot and humid climates,pos
The Indian government is not distributing free face masks during the COVID-19 pandemic,pos
"Although these vaccines are not effective against 2019-nCoV, vaccination against respiratory illnesses is highly recommended to protect your health.",pos
"Smoking can make people more susceptible to serious complications from a coronavirus infection, the European Union agency for disease control said.",pos
Philippine authorities warn that injection of antivirals has been approved for the treatment of VIDOC-19,neg
5G is based on radio frequency and that this does not create viruses,pos
coronavirus is a genetic weapon made by the US government.,neg
"The claim that data from a hospital in the Philippines shows a correlation between racing and VIDOC-19 was shared more than 1,000 times.",neg
" the CDC “does not recommend that people who are well wear a facemask to protect themselves from respiratory illnesses, including COVID-19.”",pos
"The activity of ACE2, or angiotensin-converting enzyme 2, also increases with age and with some kinds of hypertension treatment - both risk factors",pos
"South Africa has not announced a date that schools will re-open (as of March 29, 2020)",pos
"Israel has not sent a vaccine to ""cure"" novel coronavirus patients in Wuhan, as of mid-March 2020, no vaccine for the virus had been developed.",pos
"A claim that data from a hospital in the Philippines shows a correlation between grocery shopping and COVID-19 has been shared more than 1,000 times",neg
"This map does not show the movement of residents from Wuhan, China, the origin of the novel coronavirus outbreak; it shows flight paths worldwide.",pos
"No, antibiotics do not work against viruses, only bacteria.",pos
Australian authorities did not issue a warning that using petrol pumps can spread the novel coronavirus. ,pos
Sri Lanka and the Philippines are not spraying disinfectant over homes from helicopters to kill off the coronavirus.,pos
Radiofrequency exposure levels from current technologies result in negligible temperature rise in the human body.,pos
IV lamps should not be used to sterilize hands or other areas of skin as UV radiation can cause skin irritation.,pos
Health experts say drinking water with lemon does prevent coronavirus infection,neg
Claims that 59 church members in South Africa died after drinking household disinfectant to prevent novel coronavirus infections are a hoax -- they are based on an old story. ,pos
 COVID-19 was not as widespread in Africa because of the absence of 5G,neg
The Philippine Department of Health did not issue an advisory that people who have had contact with those infected with the novel coronavirus would be turned away from doctors' clinics.,pos
Thai health experts say there is evidence the 'green chiretta' herb can prevent the novel coronavirus,neg
"The global environmental movement Extinction Rebellion did not issue a poster saying that ""Corona is the cure, humans are the disease.""",pos
"Viruses, including COVID-19, tend to spread at an exponential rate, which means they multiply really quickly.",pos
" the new coronavirus is more widespread than SARS in terms of case numbers, the mortality rate remains considerably lower at approximately 3.4 percent, according to the WHO",pos
"This is not a 19th century poem about self-isolation, it was written specifically about the COVID-19 pandemic",pos
- This South African hospital did not find COVID-19 on fresh produce. More here.,pos
Keep hands away from face,pos
Donating blood in the US does not get you a novel coronavirus test.,pos
- An ice rink outside of the city of Adelaide in Australia has not been turned into a morgue (as of April 2). More here.,pos
"Disease is mild in 80 pecent of patients, sever in 13 percent, and critical in 6 percent ",pos
Eating boiled ginger can cure new coronavirus infections,neg
- This non-profit hospital in Pakistan said it did not charged patients for COVID-19 tests. More here.,pos
Medical doctors claim that Chinese herbal remedy 'inhibits' novel coronavirus after Chinese media reports praised it,neg
Thermal scanners cannot detect people who are infected but are not yet sick with fever.,pos
- Nigeria's ex-vice president didn't promise to pay citizens to stay home during the COVID-19 outbreak. More here.,pos
"A new vaccine and a new drug have not been developed to treat the novel coronavirus, as claimed by multiple posts in Asia (as of April 3).",pos
Philippine authorities warn anti-viral injection has been approved for treating COVID-19,neg
Hong Kong stated that there is evidence to suggest that the virus is transmitted through food products.,neg
US Democrats did vote for legislation to combat the novel coronavirus crisis.,pos
scientists have discovered that bananas prevent coronavirus infection,neg
the World Health Organization (WHO) has warned against eating cabbage during the novel coronavirus pandemic. ,neg
"A factory in the Australian city of Melbourne has not been hoarding essential supplies including baby formula, toilet paper and hand sanitizer for export to China",pos
People who have severe underlying medical conditions like heart or lung disease or diabetes also seem to be at high risk for developing more serious complications from COVID-19 illness.,pos
"Be aware that both alcohol and chlorine can be useful to disinfect surfaces, but they need to be used under appropriate recommendations",pos
Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19),pos
Football superstar Cristiano Ronaldo is not planning to turn his hotels in Portugal into hospitals for novel coronavirus patients. ,pos
Israel has not developed a vaccine for the novel coronavirus (as of March 20). ,pos
Exposing yourself to the sun or to temperatures higher than 25C degrees prevent the coronavirus disease (COVID-19),neg
- There is no US patent on the novel coronavirus and no European one for a vaccine (as of April 1). More here.,pos
TheDMC pharmacies have limited supplies and face potential shortages of critical antimicrobials,pos
"The World Health Organization did not choose COVID-19 as the name for the disease that the novel coronavirus causes because it stands for ""China Outbreak Virus in December 19;"" the name is an abbreviation of ""coronavirus disease 2019."" ",pos
World Health Organization claims that holding your breath can test for COVID-19,neg
"People of all ages can be infected by the new coronavirus (2019-nCoV). Older people, and people with pre-existing medical conditions (such as asthma, diabetes, heart disease) appear to be more vulnerable to becoming severely ill with the virus. ",pos
The virus has only been spreading among humans for four months and therefore studies about test reliability are still considered preliminary.,pos
"the lab was covertly working for the Chinese military to make bioweapons, and the virus was unwittingly leaked in the process.",neg
- South Sudan's chief justice and his family have tested negative for COVID-19 (as of April 15). More here.,pos
Nigeria is not paying citizens to stay at home during the novel coronavirus crisis,pos
"The Nigerian leader has not tested positive for the coronavirus (as of April 6), this CNN broadcast has been doctored.",pos
- A recovered COVID-19 patient did not violate a home quarantine order in Sri Lanka. More here.,pos
"Vaccines against pneumonia, such as pneumococcal vaccine and Haemophilus influenza type B (Hib) vaccine, do not provide protection against the new coronavirus.",pos
"Symptoms of the novel coronavirus, according to the US Centers for Disease Control and Prevention (CDC) and the World Health Organization (WHO), include fever, cough, shortness of breath, and breathing difficulties.",pos
5G mobile networks are at the origin of the new coronavirus pandemic,neg
Six of the 138 patients died ,pos
One of the stealthiest characteristics of the coronavirus is that it can be spread with little to no symptoms.,pos
"The number of fatalities from the new coronavirus has overwhelmingly surpassed the toll of the 2002-2003 SARS outbreak, which also originated in China.",pos
